科目コード,科目名称,,,,,,,単位数,他大学科目フラグ,,,,明細ＮＯ,,,,,,,単位数(明細)   ,資格対象フラグ,,複数回修得可否フラグ
1,韓国語会話Ⅰ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
2,韓国語会話Ⅱ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
3,韓国語購読Ⅰ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
4,韓国語購読Ⅱ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
5,韓国語中級Ⅰ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
6,韓国語中級Ⅱ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
7,中国語会話Ⅰ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
8,中国語会話Ⅱ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
9,中国語購読Ⅰ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
10,中国語購読Ⅱ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
11,中国語中級Ⅰ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
12,中国語中級Ⅱ,,,,,,,2,0,,,,1,,,,,,,2,0,,1
